name,abs_path,size_bytes,sha256,mime,parser_version
part1.zip,/mnt/data/part1.zip,10891245,bf9515d0fb82f4487c1e50506525dd92a1a0d7b001eee3f4b35cdaa6ddbaf9b4,application/zip,flame_v1.3_ext
part2.zip,/mnt/data/part2.zip,17777630,d7292c7d55f13bd3e5bfe1cc749f962df3a1dd55ead7fa07b18347ea60a743b2,application/zip,flame_v1.3_ext
part3.zip,/mnt/data/part3.zip,9702200,a0a247ae8195edbef52a1f43d714dcfe3c425da82a9be4dbeea310ce09c7ca2b,application/zip,flame_v1.3_ext
