,file,keyword,snippet
15,/mnt/data/_work_2025-06-10/unzipped/README_victim_map/README_victim_map.txt,JetsamEvent,"d - psychological_effects: concise, comma-separated - key_log_terms: e.g., RTCR;JetsamEvent;Stacks;Pegasus;Biome;EcosystemAnalytics - biome_metrics_found: yes/no - biome_m"
17,/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2 (2)/README_victim_map 2.txt,JetsamEvent,"d - psychological_effects: concise, comma-separated - key_log_terms: e.g., RTCR;JetsamEvent;Stacks;Pegasus;Biome;EcosystemAnalytics - biome_metrics_found: yes/no - biome_m"
19,/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2 (2)/README_victim_map.txt,JetsamEvent,"d - psychological_effects: concise, comma-separated - key_log_terms: e.g., RTCR;JetsamEvent;Stacks;Pegasus;Biome;EcosystemAnalytics - biome_metrics_found: yes/no - biome_m"
21,/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2/README_victim_map 2.txt,JetsamEvent,"d - psychological_effects: concise, comma-separated - key_log_terms: e.g., RTCR;JetsamEvent;Stacks;Pegasus;Biome;EcosystemAnalytics - biome_metrics_found: yes/no - biome_m"
23,/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2/README_victim_map.txt,JetsamEvent,"d - psychological_effects: concise, comma-separated - key_log_terms: e.g., RTCR;JetsamEvent;Stacks;Pegasus;Biome;EcosystemAnalytics - biome_metrics_found: yes/no - biome_m"
